1000, initial, 0
1000, t1-init, 0
1000, t1-end, 3992724652177269/2251799813685248
1000, t2-init, 3992724652177269/2251799813685248
999, initial, 436440013268491/70368744177664
999, t1-init, 436440013268491/70368744177664
998, initial, 949757018839533/140737488355328
998, t1-init, 949757018839533/140737488355328
998, t1-end, 63926252723561745/9007199254740992
998, t2-init, 63926252723561745/9007199254740992
999, t1-end, 15995629379082139/2251799813685248
999, t2-init, 15995629379082139/2251799813685248
997, initial, 4888430864052607/562949953421312
997, t1-init, 4888430864052607/562949953421312
1000, t2-end, 19827786265978397/2251799813685248
1000, t2-init, 19827786265978397/2251799813685248
996, initial, 2658022350745225/281474976710656
996, t1-init, 2658022350745225/281474976710656
996, t1-end, 46213182825928047/4503599627370496
996, t2-init, 46213182825928047/4503599627370496
997, t1-end, 46838024560084625/4503599627370496
997, t2-init, 46838024560084625/4503599627370496
995, initial, 6347696374812331/562949953421312
995, t1-init, 6347696374812331/562949953421312
994, initial, 1626446607316399/140737488355328
994, t1-init, 1626446607316399/140737488355328
995, t1-end, 3548487071481873/281474976710656
995, t2-init, 3548487071481873/281474976710656
994, t1-end, 29942319555771507/2251799813685248
994, t2-init, 29942319555771507/2251799813685248
997, t2-end, 60418133840461345/4503599627370496
997, t2-init, 60418133840461345/4503599627370496
998, t2-end, 135948538540411097/9007199254740992
998, t2-init, 135948538540411097/9007199254740992
1000, t2-end, 40419121964243641/2251799813685248
1000, t3-init, 40419121964243641/2251799813685248
993, initial, 10312898491868395/562949953421312
993, t1-init, 10312898491868395/562949953421312
1000, t3-end, 5285628211855753/281474976710656
1000, t6-init, 5285628211855753/281474976710656
1000, t6-end, 176404366053704499/9007199254740992
1000, t7-init, 176404366053704499/9007199254740992
992, initial, 5568465578272775/281474976710656
992, t1-init, 5568465578272775/281474976710656
991, initial, 1392680476390959/70368744177664
991, t1-init, 1392680476390959/70368744177664
993, t1-end, 89718225323314169/4503599627370496
993, t2-init, 89718225323314169/4503599627370496
998, t2-end, 180650367721765169/9007199254740992
998, t3-init, 180650367721765169/9007199254740992
990, initial, 5680384049454193/281474976710656
990, t1-init, 5680384049454193/281474976710656
991, t1-end, 1463049220568623/70368744177664
991, t2-init, 1463049220568623/70368744177664
990, t1-end, 188683781895215361/9007199254740992
990, t2-init, 188683781895215361/9007199254740992
992, t1-end, 47903771652160451/2251799813685248
992, t2-init, 47903771652160451/2251799813685248
1000, t7-end, 207272475801854259/9007199254740992
1000, t5-init, 207272475801854259/9007199254740992
998, t3-end, 219920103239810473/9007199254740992
998, t6-init, 219920103239810473/9007199254740992
997, t2-end, 113843210320050697/4503599627370496
997, t2-init, 113843210320050697/4503599627370496
998, t6-end, 229179689911474135/9007199254740992
998, t8-init, 229179689911474135/9007199254740992
995, t2-end, 14579930103821193/562949953421312
995, t2-init, 14579930103821193/562949953421312
989, initial, 29755180782733269/1125899906842624
989, t1-init, 29755180782733269/1125899906842624
989, t1-end, 29984381122399275/1125899906842624
989, t2-init, 29984381122399275/1125899906842624
998, t8-end, 246172384507537135/9007199254740992
998, t4-init, 246172384507537135/9007199254740992
998, t9-init, 246172384507537135/9007199254740992
998, t10-init, 246172384507537135/9007199254740992
998, t9-end, 250020904658506289/9007199254740992
998, t4-end, 258349115451104403/9007199254740992
995, t2-end, 32671924823052857/1125899906842624
995, t2-init, 32671924823052857/1125899906842624
1000, t5-end, 273603292553617875/9007199254740992
1000, final, 273603292553617875/9007199254740992
998, t10-end, 274584430107402875/9007199254740992
998, t11-init, 274584430107402875/9007199254740992
988, initial, 34684948001000207/1125899906842624
988, t1-init, 34684948001000207/1125899906842624
988, t1-end, 71378707748729323/2251799813685248
988, t2-init, 71378707748729323/2251799813685248
987, initial, 36361278971114755/1125899906842624
987, t1-init, 36361278971114755/1125899906842624
999, t2-end, 73516639647772411/2251799813685248
999, t2-init, 73516639647772411/2251799813685248
987, t1-end, 147994477905155513/4503599627370496
987, t2-init, 147994477905155513/4503599627370496
992, t2-end, 75183560783020579/2251799813685248
992, t2-init, 75183560783020579/2251799813685248
990, t2-end, 309996704625739137/9007199254740992
990, t2-init, 309996704625739137/9007199254740992
996, t2-end, 157460155065312287/4503599627370496
996, t2-init, 157460155065312287/4503599627370496
986, initial, 39781050351500805/1125899906842624
986, t1-init, 39781050351500805/1125899906842624
989, t2-end, 39899145774047971/1125899906842624
989, t2-init, 39899145774047971/1125899906842624
985, initial, 39976163913869929/1125899906842624
985, t1-init, 39976163913869929/1125899906842624
986, t1-end, 162501171191144427/4503599627370496
986, t2-init, 162501171191144427/4503599627370496
985, t1-end, 163903801732318743/4503599627370496
985, t2-init, 163903801732318743/4503599627370496
984, initial, 41448675458668127/1125899906842624
984, t1-init, 41448675458668127/1125899906842624
983, initial, 41777849255179193/1125899906842624
983, t1-init, 41777849255179193/1125899906842624
998, t11-end, 338454480022771251/9007199254740992
998, final, 338454480022771251/9007199254740992
984, t1-end, 85300043151948207/2251799813685248
984, t2-init, 85300043151948207/2251799813685248
983, t1-end, 87530323330710845/2251799813685248
983, t2-init, 87530323330710845/2251799813685248
994, t2-end, 89222841162879155/2251799813685248
994, t2-init, 89222841162879155/2251799813685248
982, initial, 45048440281546805/1125899906842624
982, t1-init, 45048440281546805/1125899906842624
985, t2-end, 181269231535496639/4503599627370496
985, final, 181269231535496639/4503599627370496
982, t1-end, 362758797985997115/9007199254740992
982, t2-init, 362758797985997115/9007199254740992
981, initial, 45390683179245355/1125899906842624
981, t1-init, 45390683179245355/1125899906842624
990, t2-end, 364618432562317105/9007199254740992
990, t2-init, 364618432562317105/9007199254740992
980, initial, 45794040619467279/1125899906842624
980, t1-init, 45794040619467279/1125899906842624
979, initial, 45916665095824873/1125899906842624
979, t1-init, 45916665095824873/1125899906842624
980, t1-end, 185933891912038419/4503599627370496
980, t2-init, 185933891912038419/4503599627370496
981, t1-end, 23291371922160135/562949953421312
981, t2-init, 23291371922160135/562949953421312
979, t1-end, 188192677639700103/4503599627370496
979, t2-init, 188192677639700103/4503599627370496
987, t2-end, 191026642560658249/4503599627370496
987, t2-init, 191026642560658249/4503599627370496
993, t2-end, 192860744853263833/4503599627370496
993, t2-init, 192860744853263833/4503599627370496
978, initial, 48510767949172831/1125899906842624
978, t1-init, 48510767949172831/1125899906842624
977, initial, 48785865051922339/1125899906842624
977, t1-init, 48785865051922339/1125899906842624
977, t1-end, 394296694115172237/9007199254740992
977, t2-init, 394296694115172237/9007199254740992
978, t1-end, 201239762748607603/4503599627370496
978, t2-init, 201239762748607603/4503599627370496
992, t2-end, 100854011105037995/2251799813685248
992, t2-init, 100854011105037995/2251799813685248
984, t2-end, 101223262728455113/2251799813685248
984, t2-init, 101223262728455113/2251799813685248
991, t2-end, 13193711667334835/281474976710656
991, t2-init, 13193711667334835/281474976710656
976, initial, 53134139035501887/1125899906842624
976, t1-init, 53134139035501887/1125899906842624
976, t1-end, 217040155769585823/4503599627370496
976, t2-init, 217040155769585823/4503599627370496
979, t2-end, 217598661190638115/4503599627370496
979, final, 217598661190638115/4503599627370496
978, t2-end, 227227649290360227/4503599627370496
978, t2-init, 227227649290360227/4503599627370496
975, initial, 57660066384035517/1125899906842624
975, t1-init, 57660066384035517/1125899906842624
974, initial, 59093937899077937/1125899906842624
974, t1-init, 59093937899077937/1125899906842624
975, t1-end, 59634999183050955/1125899906842624
975, t2-init, 59634999183050955/1125899906842624
974, t1-end, 30155518086794845/562949953421312
974, t2-init, 30155518086794845/562949953421312
997, t2-end, 241256528961825449/4503599627370496
997, t3-init, 241256528961825449/4503599627370496
997, t3-end, 241256528961825449/4503599627370496
997, t6-init, 241256528961825449/4503599627370496
986, t2-end, 246093294522701131/4503599627370496
986, t3-init, 246093294522701131/4503599627370496
997, t6-end, 246294905781763541/4503599627370496
997, t8-init, 246294905781763541/4503599627370496
988, t2-end, 124767237517342563/2251799813685248
988, t2-init, 124767237517342563/2251799813685248
999, t2-end, 125878889133300459/2251799813685248
999, t2-init, 125878889133300459/2251799813685248
996, t2-end, 252586987834482847/4503599627370496
996, t2-init, 252586987834482847/4503599627370496
984, t2-end, 127229929280653873/2251799813685248
984, t2-init, 127229929280653873/2251799813685248
995, t2-end, 63812390957479137/1125899906842624
995, t2-init, 63812390957479137/1125899906842624
974, t2-end, 129567437179036575/2251799813685248
974, t3-init, 129567437179036575/2251799813685248
973, initial, 64838383872380723/1125899906842624
973, t1-init, 64838383872380723/1125899906842624
997, t8-end, 260058441538333993/4503599627370496
997, t4-init, 260058441538333993/4503599627370496
997, t9-init, 260058441538333993/4503599627370496
997, t10-init, 260058441538333993/4503599627370496
997, t4-end, 260058441538333993/4503599627370496
982, t2-end, 522192439762398459/9007199254740992
982, t2-init, 522192439762398459/9007199254740992
986, t3-end, 261129211084923791/4503599627370496
986, t6-init, 261129211084923791/4503599627370496
989, t2-end, 65979952835112319/1125899906842624
989, t3-init, 65979952835112319/1125899906842624
997, t9-end, 527870359230030537/9007199254740992
986, t6-end, 265600259372217339/4503599627370496
986, t8-init, 265600259372217339/4503599627370496
973, t1-end, 133304301418433247/2251799813685248
973, t2-init, 133304301418433247/2251799813685248
980, t2-end, 267236340157043683/4503599627370496
980, t2-init, 267236340157043683/4503599627370496
997, t10-end, 268452395002108131/4503599627370496
997, t11-init, 268452395002108131/4503599627370496
983, t2-end, 135468259060308253/2251799813685248
983, t2-init, 135468259060308253/2251799813685248
986, t8-end, 271382157959847531/4503599627370496
986, t4-init, 271382157959847531/4503599627370496
986, t9-init, 271382157959847531/4503599627370496
986, t10-init, 271382157959847531/4503599627370496
986, t4-end, 271382157959847531/4503599627370496
972, initial, 68051964263446393/1125899906842624
972, t1-init, 68051964263446393/1125899906842624
991, t2-end, 17014075824736487/281474976710656
991, t3-init, 17014075824736487/281474976710656
974, t3-end, 267095047067303/4398046511104
974, t6-init, 267095047067303/4398046511104
987, t2-end, 273980380645035177/4503599627370496
987, t2-init, 273980380645035177/4503599627370496
972, t1-end, 277254105026932433/4503599627370496
972, t2-init, 277254105026932433/4503599627370496
974, t6-end, 277909407226960995/4503599627370496
974, t8-init, 277909407226960995/4503599627370496
986, t9-end, 278439894332023833/4503599627370496
984, t2-end, 140231168382926525/2251799813685248
984, final, 140231168382926525/2251799813685248
971, initial, 70340043022480635/1125899906842624
971, t1-init, 70340043022480635/1125899906842624
996, t2-end, 281791120050122111/4503599627370496
996, t2-init, 281791120050122111/4503599627370496
970, initial, 70630458550384065/1125899906842624
970, t1-init, 70630458550384065/1125899906842624
992, t2-end, 141361750543412603/2251799813685248
992, t2-init, 141361750543412603/2251799813685248
971, t1-end, 284322986142168803/4503599627370496
971, t2-init, 284322986142168803/4503599627370496
991, t3-end, 17899757840666333/281474976710656
991, t6-init, 17899757840666333/281474976710656
986, t10-end, 286534111986232369/4503599627370496
986, t11-init, 286534111986232369/4503599627370496
970, t1-end, 287425830438080393/4503599627370496
970, t2-init, 287425830438080393/4503599627370496
990, t2-end, 577698322596007953/9007199254740992
990, t2-init, 577698322596007953/9007199254740992
989, t3-end, 72277927619799643/1125899906842624
989, t6-init, 72277927619799643/1125899906842624
974, t8-end, 289467904833378187/4503599627370496
974, t4-init, 289467904833378187/4503599627370496
974, t9-init, 289467904833378187/4503599627370496
974, t10-init, 289467904833378187/4503599627370496
991, t6-end, 581199354359392051/9007199254740992
991, t8-init, 581199354359392051/9007199254740992
982, t2-end, 586099329122718723/9007199254740992
982, t2-init, 586099329122718723/9007199254740992
989, t6-end, 293143659079909207/4503599627370496
989, t8-init, 293143659079909207/4503599627370496
974, t9-end, 293267531426767517/4503599627370496
974, t4-end, 293386597745662105/4503599627370496
987, t2-end, 294470858229645461/4503599627370496
987, t2-init, 294470858229645461/4503599627370496
981, t2-end, 37004511906029845/562949953421312
981, t3-init, 37004511906029845/562949953421312
996, t2-end, 296415749192074871/4503599627370496
996, final, 296415749192074871/4503599627370496
994, t2-end, 148400613144488347/2251799813685248
994, t2-init, 148400613144488347/2251799813685248
969, initial, 75423711256540015/1125899906842624
969, t1-init, 75423711256540015/1125899906842624
993, t2-end, 302536681398636153/4503599627370496
993, t2-init, 302536681398636153/4503599627370496
989, t8-end, 303240484592506043/4503599627370496
